[2025-06-30 11:38:57]  109 root - INFO - Loading and preparing data...
[2025-06-30 11:38:58]  33 root - INFO - Data loaded to DataFrame successfully
[2025-06-30 11:38:58]  344 root - INFO - Applying all technical indicators for column: Ticker
[2025-06-30 11:38:58]  32 root - INFO - Calculating SMA for column: Ticker
[2025-06-30 11:38:58]  37 root - INFO - SMA calculation completed successfully
[2025-06-30 11:38:58]  47 root - INFO - Calculating EMA for column: Ticker
[2025-06-30 11:38:58]  51 root - INFO - EMA calculation completed successfully
[2025-06-30 11:38:58]  61 root - INFO - Calculating Bollinger Bands for column: Ticker
[2025-06-30 11:38:58]  65 root - INFO - Bollinger Bands calculation completed successfully
[2025-06-30 11:38:58]  75 root - INFO - Calculating Pivot Points for column: Ticker
[2025-06-30 11:38:58]  89 root - INFO - Pivot Points calculation completed successfully
[2025-06-30 11:38:58]  99 root - INFO - Calculating Ichimoku Cloud for column: Ticker
[2025-06-30 11:38:58]  109 root - INFO - Ichimoku Cloud calculation completed successfully
[2025-06-30 11:38:58]  119 root - INFO - Calculating MACD for column: Ticker
[2025-06-30 11:38:59]  129 root - INFO - MACD calculation completed successfully
[2025-06-30 11:38:59]  139 root - INFO - Calculating RSI for column: Ticker
[2025-06-30 11:38:59]  151 root - INFO - RSI calculation completed successfully
[2025-06-30 11:38:59]  161 root - INFO - Calculating ATR for column: Ticker
[2025-06-30 11:38:59]  171 root - INFO - ATR calculation completed successfully
[2025-06-30 11:38:59]  181 root - INFO - Calculating Stochastic Oscillator for column: Ticker
[2025-06-30 11:38:59]  191 root - INFO - Stochastic Oscillator calculation completed successfully
[2025-06-30 11:38:59]  201 root - INFO - Calculating SAR for column: Ticker
[2025-06-30 11:39:00]  253 root - INFO - SAR calculation completed successfully
[2025-06-30 11:39:00]  287 root - INFO - Calculating Fibonacci Retracement for column: Ticker
[2025-06-30 11:39:01]  298 root - INFO - Fibonacci Retracement calculation completed successfully
[2025-06-30 11:39:01]  263 root - INFO - Calculating OBV for column: Ticker
[2025-06-30 11:39:02]  277 root - INFO - OBV calculation completed successfully
[2025-06-30 11:39:02]  308 root - INFO - Calculating Garman-Klass Volatility for column: Ticker
[2025-06-30 11:39:02]  317 root - INFO - Garman-Klass Volatility calculation completed successfully
[2025-06-30 11:39:02]  327 root - INFO - Calculating Donchian Channel for column: Ticker
[2025-06-30 11:39:02]  334 root - INFO - Donchian Channel calculation completed successfully
[2025-06-30 11:39:02]  364 root - INFO - All technical indicators applied successfully
[2025-06-30 11:39:02]  77 root - INFO - Converted boolean column Trend_Up to numeric
[2025-06-30 11:39:02]  83 root - INFO - Processed data shape: (55444, 64)
[2025-06-30 11:39:02]  84 root - INFO - Transformed ABB.NS: 1187 sequences, 949 train, 238 test
[2025-06-30 11:39:02]  84 root - INFO - Transformed ADANIGREEN.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 11:39:02]  84 root - INFO - Transformed ADANIPORTS.NS: 1186 sequences, 948 train, 238 test
[2025-06-30 11:39:02]  84 root - INFO - Transformed BANKBEES.NS: 1187 sequences, 949 train, 238 test
