Period,Stock,Sales,Net Profit,EPS in Rs,Promoters,FIIs,DIIs,Government,Public
2022-06-01,ABB,2098.0,146,6.87,75.00%,3.53%,8.59%,,12.88%
2022-06-01,ADANIGREEN,1635.0,214,1.35,60.50%,15.91%,0.98%,,22.61%
2022-06-01,ADANIPORTS,5058.0,1177,5.48,66.02%,14.24%,15.06%,0.03%,4.65%
2022-06-01,BEL,3141.0,366,0.5,51.14%,15.99%,27.77%,,5.11%
2022-06-01,BHEL,4672.0,-188,-0.54,63.17%,4.22%,12.59%,,20.02%
2022-06-01,CDSL,140.0,58,2.76,20.00%,0.00%,34.69%,,45.31%
2022-06-01,CIPLA,5375.0,706,8.51,33.61%,27.65%,21.33%,0.00%,17.40%
2022-06-01,DRREDDY,5233.0,1189,14.29,26.71%,25.87%,25.18%,,21.96%
2022-06-01,EXIDEIND,4022.0,202,2.39,45.99%,10.40%,17.83%,,25.78%
2022-06-01,HAL,3622.0,620,9.27,75.15%,5.56%,15.71%,0.00%,3.58%
2022-06-01,HINDZINC,9387.0,3092,7.32,64.92%,0.86%,2.95%,29.58%,1.69%
2022-06-01,JMFINANCIL,791.0,198,1.78,55.41%,21.13%,8.79%,,14.67%
2022-06-01,KOLTEPATIL,200.0,26,2.79,74.45%,0.98%,3.72%,,20.86%
2022-06-01,KOTAKBANK,9164.0,2755,13.88,25.97%,40.55%,17.29%,,16.20%
2022-06-01,KPITTECH,686.0,88,3.12,40.11%,15.99%,10.74%,,31.69%
2022-06-01,LAURUSLABS,1539.0,252,4.68,27.27%,21.98%,9.11%,,41.65%
2022-06-01,MOTILALOFS,754.0,32,0.52,69.50%,9.80%,4.02%,,16.67%
2022-06-01,NMDC,4767.0,1445,1.64,60.79%,5.89%,22.14%,,11.18%
2022-06-01,PAYTM,1680.0,-645,-9.93,,5.45%,1.15%,,93.40%
2022-06-01,PGEL,537.0,16,0.77,65.71%,0.98%,0.00%,,33.31%
2022-06-01,PRAJIND,732.0,41,2.25,32.83%,15.93%,10.01%,,41.23%
2022-06-01,RELIANCE,218855.0,19443,13.27,50.62%,23.90%,14.67%,0.17%,10.64%
2022-06-01,SAIL,24029.0,804,1.95,65.00%,4.22%,8.79%,0.09%,21.91%
2022-06-01,SKIPPER,416.0,-1,-0.06,71.89%,9.28%,0.00%,,18.83%
2022-06-01,SUZLON,1381.0,2433,2.01,14.92%,6.29%,15.50%,0.00%,63.29%
2022-06-01,TATAMOTORS,71935.0,-4951,-15.08,46.40%,13.71%,15.17%,0.14%,24.57%
2022-06-01,VEDL,38622.0,5593,11.89,69.69%,8.68%,11.57%,0.00%,9.84%
2022-06-01,YESBANK,5135.0,314,0.13,,11.37%,43.93%,0.00%,44.70%
2022-06-01,ZYDUSLIFE,4073.0,576,5.06,74.88%,2.86%,11.94%,0.08%,10.24%
2022-09-01,ADANIGREEN,1584.0,149,0.94,60.75%,15.25%,1.26%,,22.74%
2022-09-01,ADANIPORTS,5211.0,1738,7.94,66.02%,14.35%,15.37%,0.00%,4.27%
2022-09-01,BEL,3962.0,624,0.85,51.14%,17.36%,25.63%,,5.88%
2022-09-01,BHEL,5203.0,12,0.03,63.17%,4.81%,14.45%,,17.57%
2022-09-01,CDSL,149.0,80,3.85,20.00%,15.65%,18.96%,,45.40%
2022-09-01,CIPLA,5829.0,797,9.78,33.61%,27.69%,21.47%,0.21%,17.00%
2022-09-01,DRREDDY,6332.0,1114,13.39,26.71%,26.26%,24.69%,,22.06%
2022-09-01,EXIDEIND,3841.0,241,2.84,45.99%,10.48%,17.82%,,25.71%
2022-09-01,HAL,5145.0,1221,18.26,75.15%,6.85%,13.48%,0.00%,4.53%
2022-09-01,HINDZINC,8336.0,2680,6.34,64.92%,0.81%,2.95%,29.54%,1.78%
2022-09-01,IDEA,10615.0,-7596,-2.36,74.99%,3.53%,0.62%,0.06%,20.80%
2022-09-01,JMFINANCIL,859.0,238,1.89,56.02%,22.12%,8.30%,,13.57%
2022-09-01,KOLTEPATIL,123.0,-7,-1.16,74.45%,1.37%,3.71%,,20.46%
2022-09-01,KOTAKBANK,9994.0,3608,18.17,25.96%,40.92%,19.96%,,13.16%
2022-09-01,KPITTECH,745.0,84,3.05,40.10%,16.89%,13.52%,,28.08%
2022-09-01,LAURUSLABS,1576.0,233,4.33,27.27%,22.67%,9.34%,,40.74%
2022-09-01,MOTILALOFS,1321.0,510,8.62,69.57%,9.29%,5.01%,,16.12%
2022-09-01,NMDC,3328.0,972,1.11,60.79%,5.94%,20.98%,,12.27%
2022-09-01,PAYTM,1914.0,-572,-8.8,,77.26%,1.33%,,21.42%
2022-09-01,PGEL,336.0,7,0.34,65.24%,2.68%,1.56%,,30.27%
2022-09-01,PRAJIND,881.0,48,2.62,32.82%,16.98%,10.33%,,39.85%
2022-09-01,RELIANCE,229409.0,15512,10.09,50.56%,23.58%,14.91%,0.16%,10.78%
2022-09-01,SAIL,26246.0,-329,-0.8,65.00%,4.31%,9.40%,0.00%,21.29%
2022-09-01,SKIPPER,462.0,3,0.26,71.89%,9.88%,0.00%,,18.24%
2022-09-01,SUZLON,1438.0,56,0.05,14.50%,7.84%,8.24%,0.00%,69.40%
2022-09-01,TATAMOTORS,79611.0,-898,-2.84,46.40%,14.13%,14.75%,0.14%,24.58%
2022-09-01,VEDL,36654.0,2687,4.86,69.68%,8.09%,10.37%,0.07%,11.57%
2022-09-01,YESBANK,5475.0,160,0.06,,12.15%,43.91%,0.01%,43.94%
2022-09-01,ZYDUSLIFE,4135.0,526,5.16,74.98%,2.61%,12.86%,0.07%,9.47%
2022-12-01,ADANIGREEN,1971.0,103,0.65,60.75%,15.14%,1.40%,,22.70%
2022-12-01,ADANIPORTS,4786.0,1337,6.09,65.13%,13.77%,14.46%,0.03%,6.62%
2022-12-01,BEL,4153.0,614,0.84,51.14%,17.34%,25.04%,,6.47%
2022-12-01,BHEL,5263.0,42,0.12,63.17%,8.48%,14.71%,,13.63%
2022-12-01,CDSL,141.0,75,3.57,20.00%,15.83%,18.46%,,45.71%
2022-12-01,CIPLA,5810.0,808,9.92,33.61%,28.39%,20.87%,0.21%,16.91%
2022-12-01,DRREDDY,6790.0,1244,14.94,26.69%,27.29%,23.38%,,22.36%
2022-12-01,EXIDEIND,3538.0,198,2.34,45.99%,10.96%,19.56%,,23.49%
2022-12-01,HAL,5666.0,1155,17.27,75.15%,7.14%,12.72%,0.00%,4.98%
2022-12-01,HINDZINC,7866.0,2156,5.1,64.92%,0.87%,3.03%,29.54%,1.65%
2022-12-01,IDEA,10621.0,-7990,-2.49,74.99%,3.59%,1.21%,0.06%,20.14%
2022-12-01,JMFINANCIL,928.0,240,1.99,56.02%,22.14%,7.35%,,14.49%
2022-12-01,KAYNES,289.0,23,3.93,63.57%,8.53%,11.43%,,16.48%
2022-12-01,KOLTEPATIL,368.0,-27,-3.39,74.45%,1.39%,4.82%,,19.34%
2022-12-01,KOTAKBANK,11011.0,3995,20.12,25.95%,40.90%,20.09%,,13.05%
2022-12-01,KPITTECH,917.0,104,3.67,40.10%,20.30%,12.69%,,25.44%
