Period,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Stock,Deposits,Borrowing
2011-03-01,11.0,35.0,68.0,46.0,160.0,62.0,17.0,0.0,80.0,160.0,PGEL,,
2011-12-01,42.0,2492.0,0.0,3784.0,6319.0,1195.0,74.0,17.0,5033.0,6319.0,ABB,,
2012-03-01,16.0,131.0,78.0,62.0,288.0,122.0,21.0,30.0,115.0,288.0,PGEL,,
2012-12-01,42.0,2559.0,328.0,3575.0,6504.0,1234.0,117.0,17.0,5137.0,6504.0,ABB,,
2013-03-01,16.0,126.0,80.0,65.0,288.0,123.0,22.0,26.0,117.0,288.0,PGEL,,
2014-03-01,414.0,8351.0,12979.0,2933.0,24677.0,13163.0,2025.0,63.0,9426.0,24677.0,ADANIPORTS,,
2014-03-01,80.0,7140.0,0.0,7760.0,14980.0,695.0,458.0,0.0,13828.0,14980.0,BEL,,
2014-03-01,490.0,32681.0,4693.0,37468.0,75331.0,4729.0,2931.0,6.0,67665.0,75331.0,BHEL,,
2014-03-01,104.0,249.0,0.0,101.0,455.0,10.0,0.0,375.0,70.0,455.0,CDSL,,
2014-03-01,161.0,9890.0,1248.0,2102.0,13400.0,6496.0,442.0,709.0,5753.0,13400.0,CIPLA,,
2014-03-01,85.0,7780.0,4477.0,3563.0,15906.0,4641.0,639.0,1067.0,9559.0,15906.0,DRREDDY,,
2014-03-01,85.0,3375.0,35.0,8999.0,12494.0,1686.0,63.0,7890.0,2855.0,12494.0,EXIDEIND,,
2014-03-01,3320.0,13205.0,20637.0,9396.0,46557.0,29602.0,11419.0,216.0,5321.0,46557.0,IDEA,,
2014-03-01,76.0,2122.0,2988.0,744.0,5930.0,228.0,1.0,495.0,5207.0,5930.0,JMFINANCIL,,
2014-03-01,76.0,730.0,337.0,730.0,1873.0,112.0,15.0,15.0,1730.0,1873.0,KOLTEPATIL,,
2014-03-01,385.0,18699.0,,17176.0,122197.0,1264.0,0.0,38791.0,82142.0,122197.0,KOTAKBANK,56930.0,29007.0
2014-03-01,15.0,281.0,605.0,372.0,1273.0,499.0,116.0,0.0,658.0,1273.0,LAURUSLABS,,
2014-03-01,14.0,1156.0,0.0,677.0,1848.0,307.0,0.0,293.0,1248.0,1848.0,MOTILALOFS,,
2014-03-01,396.0,29550.0,0.0,1497.0,31444.0,1366.0,5297.0,219.0,24561.0,31444.0,NMDC,,
2014-03-01,35.0,547.0,21.0,670.0,1274.0,323.0,2.0,91.0,859.0,1274.0,PRAJIND,,
2014-03-01,2940.0,195747.0,138761.0,91395.0,428843.0,141417.0,91494.0,60602.0,135330.0,428843.0,RELIANCE,,
2014-03-01,4131.0,39154.0,26020.0,24767.0,94072.0,28175.0,33958.0,91.0,31847.0,94072.0,SAIL,,
2014-03-01,498.0,-879.0,17059.0,13583.0,30261.0,13515.0,433.0,707.0,15606.0,30261.0,SUZLON,,
2014-03-01,644.0,64960.0,60642.0,92180.0,218426.0,69092.0,33263.0,10687.0,105385.0,218426.0,TATAMOTORS,,
2014-03-01,296.0,72712.0,80566.0,60545.0,214120.0,87205.0,43128.0,37910.0,45877.0,214120.0,VEDL,,
2014-03-01,361.0,6755.0,,6390.0,109005.0,277.0,20.0,40933.0,67775.0,109005.0,YESBANK,74186.0,21314.0
2014-03-01,102.0,3337.0,2700.0,1847.0,7986.0,3124.0,892.0,87.0,3885.0,7986.0,ZYDUSLIFE,,
2015-03-01,414.0,10351.0,17776.0,3541.0,32082.0,20527.0,1276.0,260.0,10020.0,32082.0,ADANIPORTS,,
2015-03-01,80.0,8037.0,25.0,7587.0,15729.0,1073.0,140.0,0.0,14516.0,15729.0,BEL,,
2015-03-01,490.0,33717.0,1889.0,34887.0,70983.0,4230.0,2614.0,6.0,64134.0,70983.0,BHEL,,
2015-03-01,104.0,265.0,0.0,122.0,491.0,7.0,0.0,389.0,95.0,491.0,CDSL,,
2015-03-01,161.0,10641.0,1703.0,3166.0,15670.0,6830.0,581.0,640.0,7620.0,15670.0,CIPLA,,
2015-03-01,85.0,9768.0,4314.0,4290.0,18457.0,5377.0,529.0,2248.0,10303.0,18457.0,DRREDDY,,
2015-03-01,85.0,3756.0,58.0,9989.0,13887.0,1781.0,115.0,8817.0,3175.0,13887.0,EXIDEIND,,
2015-03-01,482.0,16322.0,165.0,47370.0,64339.0,7366.0,235.0,570.0,56168.0,64339.0,HAL,,
2015-03-01,3598.0,19429.0,26859.0,10580.0,60467.0,35540.0,5141.0,11527.0,8260.0,60467.0,IDEA,,
2015-03-01,78.0,2465.0,4723.0,1239.0,8505.0,445.0,2.0,640.0,7418.0,8505.0,JMFINANCIL,,
2015-03-01,76.0,766.0,378.0,846.0,2066.0,119.0,11.0,6.0,1930.0,2066.0,KOLTEPATIL,,
2015-03-01,386.0,21770.0,,22049.0,148464.0,1385.0,0.0,45589.0,101490.0,148464.0,KOTAKBANK,72843.0,31415.0
2015-03-01,16.0,640.0,888.0,345.0,1888.0,801.0,110.0,7.0,970.0,1888.0,LAURUSLABS,,
2015-03-01,14.0,1281.0,795.0,855.0,2945.0,300.0,0.0,814.0,1831.0,2945.0,MOTILALOFS,,
2015-03-01,396.0,31870.0,0.0,2197.0,34464.0,1468.0,7801.0,319.0,24876.0,34464.0,NMDC,,
2015-03-01,30.0,354.0,0.0,316.0,701.0,47.0,11.0,112.0,530.0,701.0,PAYTM,,
2015-03-01,35.0,587.0,17.0,504.0,1144.0,302.0,1.0,158.0,682.0,1144.0,PRAJIND,,
2015-03-01,2943.0,215556.0,168251.0,117736.0,504486.0,156458.0,166462.0,76451.0,105115.0,504486.0,RELIANCE,,
2015-03-01,4131.0,39641.0,32146.0,26932.0,102849.0,39011.0,29328.0,61.0,34450.0,102849.0,SAIL,,
2015-03-01,742.0,-8064.0,17811.0,11243.0,21731.0,5843.0,356.0,266.0,15266.0,21731.0,SUZLON,,
2015-03-01,644.0,55618.0,73610.0,107442.0,237315.0,88479.0,28640.0,15337.0,104858.0,237315.0,TATAMOTORS,,
2015-03-01,296.0,53579.0,77752.0,58654.0,190281.0,70108.0,38748.0,39606.0,41819.0,190281.0,VEDL,,
2015-03-01,418.0,11248.0,,7098.0,136143.0,296.0,26.0,43193.0,92628.0,136143.0,YESBANK,91159.0,26220.0
2015-03-01,102.0,4149.0,2651.0,2144.0,9047.0,3352.0,798.0,154.0,4743.0,9047.0,ZYDUSLIFE,,
2016-03-01,414.0,13091.0,22342.0,2538.0,38385.0,20883.0,1967.0,545.0,14990.0,38385.0,ADANIPORTS,,
2016-03-01,240.0,9006.0,28.0,9330.0,18605.0,1232.0,430.0,462.0,16481.0,18605.0,BEL,,
2016-03-01,490.0,31825.0,211.0,33051.0,65577.0,3969.0,318.0,796.0,60494.0,65577.0,BHEL,,
2016-03-01,104.0,375.0,0.0,74.0,553.0,4.0,0.0,457.0,92.0,553.0,CDSL,,
2016-03-01,161.0,11356.0,5202.0,4331.0,21049.0,9368.0,2061.0,759.0,8862.0,21049.0,CIPLA,,
2016-03-01,85.0,12484.0,3352.0,4408.0,20330.0,6563.0,772.0,3833.0,9162.0,20330.0,DRREDDY,,
2016-03-01,85.0,4305.0,115.0,10866.0,15370.0,1975.0,192.0,10446.0,2757.0,15370.0,EXIDEIND,,
2016-03-01,362.0,10671.0,80.0,45420.0,56532.0,6925.0,1025.0,916.0,47666.0,56532.0,HAL,,
2016-03-01,3601.0,19950.0,40541.0,16034.0,80126.0,65190.0,6040.0,3471.0,5425.0,80126.0,IDEA,,
2016-03-01,79.0,2831.0,6672.0,1480.0,11061.0,444.0,1.0,772.0,9844.0,11061.0,JMFINANCIL,,
2016-03-01,76.0,707.0,791.0,1198.0,2771.0,135.0,2.0,3.0,2632.0,2771.0,KOLTEPATIL,,
2016-03-01,917.0,32447.0,,27761.0,240804.0,1761.0,0.0,70274.0,168769.0,240804.0,KOTAKBANK,135949.0,43730.0
2016-03-01,16.0,774.0,1094.0,339.0,2224.0,1021.0,70.0,7.0,1126.0,2224.0,LAURUSLABS,,
2016-03-01,14.0,1422.0,2589.0,1064.0,5090.0,292.0,0.0,1231.0,3566.0,5090.0,MOTILALOFS,,
2016-03-01,396.0,28784.0,1497.0,2079.0,32756.0,2058.0,9747.0,592.0,20359.0,32756.0,NMDC,,
2016-03-01,46.0,2751.0,15.0,637.0,3450.0,81.0,59.0,2308.0,1002.0,3450.0,PAYTM,,
2016-03-01,36.0,620.0,16.0,485.0,1157.0,272.0,1.0,145.0,738.0,1157.0,PRAJIND,,
2016-03-01,2948.0,228608.0,194714.0,172727.0,598997.0,184910.0,228697.0,84015.0,101375.0,598997.0,RELIANCE,,
2016-03-01,4131.0,36021.0,35141.0,26234.0,101527.0,45942.0,24927.0,2280.0,28377.0,101527.0,SAIL,,
2016-03-01,1004.0,-8537.0,11414.0,5842.0,9723.0,1573.0,233.0,393.0,7524.0,9723.0,SUZLON,,
2016-03-01,679.0,78273.0,69360.0,114872.0,263184.0,107232.0,25919.0,23767.0,106266.0,263184.0,TATAMOTORS,,
2016-03-01,296.0,43743.0,67778.0,80163.0,191980.0,67231.0,38461.0,53386.0,32903.0,191980.0,VEDL,,
2016-03-01,421.0,13342.0,,8117.0,165243.0,414.0,60.0,48788.0,115980.0,165243.0,YESBANK,111704.0,31659.0
2016-03-01,102.0,5597.0,2442.0,2208.0,10350.0,3748.0,951.0,416.0,5235.0,10350.0,ZYDUSLIFE,,
2017-03-01,1274.0,-71.0,4347.0,610.0,6160.0,4341.0,267.0,26.0,1525.0,6160.0,ADANIGREEN,,
2017-03-01,414.0,17112.0,22214.0,3629.0,43369.0,21054.0,4514.0,1161.0,16641.0,43369.0,ADANIPORTS,,
2017-03-01,223.0,7512.0,64.0,9800.0,17600.0,1501.0,743.0,491.0,14865.0,17600.0,BEL,,
2017-03-01,490.0,31899.0,156.0,29153.0,61698.0,3601.0,168.0,757.0,57171.0,61698.0,BHEL,,
2017-03-01,104.0,429.0,0.0,73.0,606.0,5.0,0.0,503.0,98.0,606.0,CDSL,,
2017-03-01,161.0,12383.0,4113.0,4213.0,20869.0,9492.0,1683.0,973.0,8721.0,20869.0,CIPLA,,
2017-03-01,83.0,12179.0,4918.0,4474.0,21654.0,6931.0,3324.0,2110.0,9290.0,21654.0,DRREDDY,,
2017-03-01,85.0,4947.0,187.0,12546.0,17765.0,2259.0,149.0,11884.0,3474.0,17765.0,EXIDEIND,,
2017-03-01,362.0,12198.0,1022.0,38163.0,51744.0,7350.0,1389.0,994.0,42011.0,51744.0,HAL,,
2017-03-01,3605.0,21127.0,55055.0,16881.0,96668.0,76763.0,7535.0,6378.0,5991.0,96668.0,IDEA,,
2017-03-01,79.0,3240.0,9444.0,3782.0,16545.0,474.0,2.0,2156.0,13913.0,16545.0,JMFINANCIL,,
