Period,Cash from Operating Activity +,Cash from Investing Activity +,Cash from Financing Activity +,Net Cash Flow,Stock
2011-03-01,23.0,-50.0,22.0,-5.0,PGEL
2011-12-01,120.0,-361.0,-80.0,-321.0,ABB
2012-03-01,-23.0,-97.0,126.0,6.0,PGEL
2012-12-01,-44.0,-340.0,210.0,-173.0,ABB
2013-03-01,,,,,PGEL
2014-03-01,1132.0,-2510.0,772.0,-606.0,ADANIPORTS
2014-03-01,-569.0,759.0,-213.0,-23.0,BEL
2014-03-01,4512.0,-868.0,523.0,4167.0,BHEL
2014-03-01,35.0,-13.0,-23.0,-1.0,CDSL
2014-03-01,1563.0,-1265.0,-266.0,33.0,CIPLA
2014-03-01,1970.0,-1604.0,-24.0,342.0,DRREDDY
2014-03-01,872.0,-591.0,-215.0,66.0,EXIDEIND
2014-03-01,8219.0,-6565.0,-2466.0,-811.0,IDEA
2014-03-01,1058.0,585.0,-1594.0,48.0,JMFINANCIL
2014-03-01,-117.0,-37.0,98.0,-56.0,KOLTEPATIL
2014-03-01,9068.0,-1130.0,-5814.0,2125.0,KOTAKBANK
2014-03-01,121.0,-312.0,203.0,12.0,LAURUSLABS
2014-03-01,140.0,4.0,-90.0,55.0,MOTILALOFS
2014-03-01,3734.0,3444.0,-5801.0,1376.0,NMDC
2014-03-01,-3.0,19.0,-40.0,-24.0,PRAJIND
2014-03-01,43261.0,-73070.0,13713.0,-16096.0,RELIANCE
2014-03-01,6313.0,-7488.0,1017.0,-158.0,SAIL
2014-03-01,568.0,-439.0,360.0,489.0,SUZLON
2014-03-01,36151.0,-27991.0,-3883.0,4277.0,TATAMOTORS
2014-03-01,15601.0,-2890.0,-5052.0,7659.0,VEDL
2014-03-01,4436.0,-2785.0,176.0,1826.0,YESBANK
2014-03-01,903.0,-438.0,-529.0,-64.0,ZYDUSLIFE
2015-03-01,3057.0,-2485.0,-237.0,335.0,ADANIPORTS
2015-03-01,1434.0,-839.0,-209.0,386.0,BEL
2015-03-01,821.0,650.0,-3543.0,-2071.0,BHEL
2015-03-01,43.0,-19.0,-23.0,0.0,CDSL
2015-03-01,1173.0,-950.0,165.0,388.0,CIPLA
2015-03-01,2524.0,-2370.0,-433.0,-280.0,DRREDDY
2015-03-01,180.0,-61.0,-199.0,-79.0,EXIDEIND
2015-03-01,,,,,HAL
2015-03-01,10418.0,-5726.0,8028.0,12720.0,IDEA
2015-03-01,-1717.0,-281.0,1783.0,-215.0,JMFINANCIL
2015-03-01,34.0,0.0,-53.0,-19.0,KOLTEPATIL
2015-03-01,2302.0,-4467.0,2426.0,260.0,KOTAKBANK
2015-03-01,-65.0,-397.0,486.0,24.0,LAURUSLABS
2015-03-01,-98.0,-606.0,747.0,44.0,MOTILALOFS
2015-03-01,3999.0,-517.0,-3449.0,33.0,NMDC
2015-03-01,-334.0,-20.0,459.0,104.0,PAYTM
2015-03-01,150.0,-77.0,-40.0,33.0,PRAJIND
2015-03-01,34374.0,-64706.0,8444.0,-21888.0,RELIANCE
2015-03-01,2579.0,-6292.0,3775.0,63.0,SAIL
2015-03-01,1119.0,-825.0,-199.0,95.0,SUZLON
2015-03-01,35531.0,-36232.0,5201.0,4500.0,TATAMOTORS
2015-03-01,17805.0,-4133.0,-13956.0,-284.0,VEDL
2015-03-01,-2317.0,-3591.0,7574.0,1666.0,YESBANK
2015-03-01,994.0,-465.0,-351.0,178.0,ZYDUSLIFE
2016-03-01,2381.0,-4153.0,2170.0,398.0,ADANIPORTS
2016-03-01,2260.0,-1470.0,-318.0,472.0,BEL
2016-03-01,374.0,23.0,-122.0,275.0,BHEL
2016-03-01,28.0,0.0,-28.0,1.0,CDSL
2016-03-01,1741.0,-4533.0,3104.0,312.0,CIPLA
2016-03-01,3263.0,-1610.0,-1700.0,-47.0,DRREDDY
2016-03-01,1583.0,-1329.0,-167.0,87.0,EXIDEIND
2016-03-01,,,,,HAL
2016-03-01,10949.0,-2389.0,-9330.0,-770.0,IDEA
2016-03-01,-918.0,264.0,1305.0,651.0,JMFINANCIL
2016-03-01,36.0,-137.0,119.0,18.0,KOLTEPATIL
2016-03-01,5025.0,-2353.0,2024.0,4696.0,KOTAKBANK
2016-03-01,182.0,-312.0,103.0,-27.0,LAURUSLABS
2016-03-01,-1242.0,-380.0,1718.0,96.0,MOTILALOFS
2016-03-01,2502.0,3645.0,-6290.0,-144.0,NMDC
2016-03-01,-1405.0,-2229.0,3938.0,304.0,PAYTM
2016-03-01,51.0,2.0,-68.0,-15.0,PRAJIND
2016-03-01,38134.0,-36186.0,-3210.0,-1262.0,RELIANCE
2016-03-01,4043.0,-4805.0,743.0,-20.0,SAIL
2016-03-01,-739.0,4482.0,-5656.0,-1914.0,SUZLON
2016-03-01,37900.0,-36694.0,-3795.0,-2589.0,TATAMOTORS
2016-03-01,20377.0,-7868.0,-11303.0,1206.0,VEDL
2016-03-01,-304.0,-4023.0,4989.0,662.0,YESBANK
2016-03-01,1894.0,-860.0,-935.0,99.0,ZYDUSLIFE
2017-03-01,28.0,-1511.0,1559.0,76.0,ADANIGREEN
2017-03-01,4063.0,-2629.0,-1325.0,109.0,ADANIPORTS
2017-03-01,-61.0,3115.0,-2857.0,197.0,BEL
2017-03-01,560.0,-565.0,-468.0,-473.0,BHEL
2017-03-01,43.0,18.0,-31.0,29.0,CDSL
2017-03-01,2382.0,-1304.0,-1326.0,-248.0,CIPLA
2017-03-01,2144.0,-1890.0,-369.0,-114.0,DRREDDY
2017-03-01,937.0,-727.0,-182.0,28.0,EXIDEIND
2017-03-01,-404.0,3012.0,-164.0,2443.0,HAL
2017-03-01,10476.0,-15556.0,4506.0,-574.0,IDEA
2017-03-01,-2546.0,-326.0,2424.0,-448.0,JMFINANCIL
2017-03-01,143.0,38.0,-171.0,10.0,KOLTEPATIL
2017-03-01,13222.0,-5289.0,6055.0,13989.0,KOTAKBANK
2017-03-01,332.0,-289.0,-54.0,-10.0,LAURUSLABS
2017-03-01,-1980.0,-314.0,2420.0,125.0,MOTILALOFS
2017-03-01,2109.0,5171.0,-7249.0,31.0,NMDC
2017-03-01,20.0,-8.0,-4.0,9.0,PRAJIND
2017-03-01,49550.0,-66201.0,8617.0,-8034.0,RELIANCE
2017-03-01,2160.0,-5467.0,3302.0,-5.0,SAIL
2017-03-01,1602.0,-643.0,-1249.0,-290.0,SUZLON
2017-03-01,30199.0,-39571.0,6205.0,-3167.0,TATAMOTORS
2017-03-01,18083.0,2681.0,-12425.0,8339.0,VEDL
2017-03-01,4384.0,-4478.0,11429.0,11336.0,YESBANK
2017-03-01,1312.0,-2872.0,2316.0,756.0,ZYDUSLIFE
2018-03-01,649.0,-4428.0,3942.0,162.0,ADANIGREEN
2018-03-01,5608.0,-3846.0,-1889.0,-127.0,ADANIPORTS
2018-03-01,-687.0,-6.0,-1202.0,-1895.0,BEL
2018-03-01,989.0,961.0,-667.0,1283.0,BHEL
2018-03-01,79.0,-67.0,-38.0,-26.0,CDSL
2018-03-01,1463.0,-834.0,-385.0,243.0,CIPLA
2018-03-01,1803.0,-1483.0,-444.0,-124.0,DRREDDY
2018-03-01,914.0,-535.0,-386.0,-6.0,EXIDEIND
2018-03-01,-748.0,597.0,-2540.0,-2691.0,HAL
2018-03-01,5332.0,-9303.0,3925.0,-46.0,IDEA
2018-03-01,-3584.0,-708.0,4540.0,247.0,JMFINANCIL
2018-03-01,230.0,38.0,-254.0,13.0,KOLTEPATIL
2018-03-01,-10392.0,-5475.0,14679.0,-1188.0,KOTAKBANK
2018-03-01,0.0,0.0,0.0,0.0,KPITTECH
2018-03-01,342.0,-384.0,42.0,1.0,LAURUSLABS
2018-03-01,248.0,-157.0,-98.0,-7.0,MOTILALOFS
2018-03-01,3376.0,-1865.0,-1557.0,-46.0,NMDC
2018-03-01,101.0,-69.0,-25.0,8.0,PRAJIND
2018-03-01,71459.0,-68192.0,-2001.0,1266.0,RELIANCE
2018-03-01,6164.0,-6480.0,269.0,-47.0,SAIL
2018-03-01,-109.0,-138.0,492.0,245.0,SUZLON
2018-03-01,23857.0,-25139.0,2012.0,730.0,TATAMOTORS
2018-03-01,17366.0,15480.0,-39255.0,-6409.0,VEDL
2018-03-01,-21810.0,-8738.0,35748.0,5199.0,YESBANK
2018-03-01,919.0,-974.0,52.0,-3.0,ZYDUSLIFE
2019-03-01,1625.0,-2666.0,1045.0,3.0,ADANIGREEN
2019-03-01,6029.0,-4368.0,2313.0,3975.0,ADANIPORTS
2019-03-01,1514.0,-896.0,-663.0,-45.0,BEL
2019-03-01,-3860.0,1919.0,-32.0,-1973.0,BHEL
2019-03-01,86.0,-67.0,-20.0,-1.0,CDSL
2019-03-01,1691.0,-1688.0,-349.0,-345.0,CIPLA
2019-03-01,2870.0,-769.0,-2133.0,-31.0,DRREDDY
2019-03-01,1687.0,-1438.0,-217.0,32.0,EXIDEIND
