Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF,Stock,Revenue +,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
2011-12-01,2203,2094,108,5%,1,13,12,84,28%,64,3.03,,ABB,,,,,
2019-03-01,1850,1705,146,8%,46,3,23,166,30%,116,5.48,,ABB,,,,,
2019-06-01,1726,1602,124,7%,81,10,22,173,25%,130,6.15,,ABB,,,,,
2019-09-01,1746,1622,123,7%,73,4,23,169,20%,135,6.38,,ABB,,,,,
2022-03-01,1975,1787,188,10%,41,1,26,201,60%,80,3.76,,ABB,,,,,
2022-03-01,1461,489,972,67%,111,667,274,142,15%,121,0.77,,ADANIGREEN,,,,,
2022-03-01,4141,2084,2057,50%,608,649,764,1252,11%,1112,5.22,,ADANIPORTS,,,,,
2022-03-01,6340,4762,1578,25%,64,4,106,1531,25%,1155,1.58,,BEL,,,,,
2022-03-01,8062,6910,1152,14%,131,96,86,1102,17%,912,2.62,,BHEL,,,,,
2022-03-01,137,46,90,66%,11,0,4,98,20%,78,3.72,,CDSL,,,,,
2022-03-01,5260,4511,750,14%,7,18,290,448,16%,371,4.49,,CIPLA,,,,,
2022-03-01,5475,5024,451,8%,132,32,293,259,63%,97,1.17,,DRREDDY,,,,,
2022-03-01,3523,3191,332,9%,3832,21,116,4026,2%,3953,46.58,,EXIDEIND,,,,,
2022-03-01,11561,9061,2500,22%,502,42,382,2577,-20%,3105,46.43,,HAL,,,,,
2022-03-01,8797,3835,4962,56%,277,66,816,4357,33%,2928,6.93,,HINDZINC,,,,,
2022-03-01,10240,5590,4649,45%,19,5316,5913,-6561,0%,-6563,-2.04,,IDEA,,,,,
2022-03-01,810,258,552,68%,30,250,10,322,29%,228,1.87,,JMFINANCIL,,,,,
2022-03-01,238,198,40,17%,-0,7,4,29,32%,20,4.30,,KAYNES,,,,,
2022-03-01,376,338,38,10%,7,9,3,34,20%,27,3.53,,KOLTEPATIL,,,,,
2022-03-01,,8555,,,7838,2904,131,5087,24%,3892,19.61,,KOTAKBANK,8838,-2620,-30%,2.37%,0.71%
2022-03-01,652,530,121,19%,14,7,31,97,17%,81,2.88,,KPITTECH,,,,,
2022-03-01,1425,1028,397,28%,1,31,66,302,23%,232,4.29,,LAURUSLABS,,,,,
2022-03-01,1051,559,493,47%,1,112,11,370,18%,303,5.02,,MOTILALOFS,,,,,
2022-03-01,6785,4061,2725,40%,332,25,112,2920,36%,1866,2.12,,NMDC,,,,,
2022-03-01,1541,2308,-767,-50%,108,7,95,-762,0%,-762,-11.74,,PAYTM,,,,,
2022-03-01,514,464,50,10%,3,9,7,37,25%,28,1.30,,PGEL,,,,,
2022-03-01,831,753,78,9%,7,1,7,78,26%,58,3.14,,PRAJIND,,,,,
2022-03-01,207375,176009,31366,15%,2602,3556,8001,22411,20%,18021,11.98,,RELIANCE,,,,,
2022-03-01,30759,26421,4338,14%,525,440,1144,3279,24%,2479,6.00,,SAIL,,,,,
2022-03-01,553,492,61,11%,1,25,12,25,-0%,25,2.18,,SKIPPER,,,,,
2022-03-01,2474,2258,217,9%,4,176,77,-33,485%,-206,-0.18,,SUZLON,,,,,
2022-03-01,78439,70156,8283,11%,189,2381,6432,-341,222%,-992,-3.11,,TATAMOTORS,,,,,
2022-03-01,39822,26189,13633,34%,275,1333,2379,10196,29%,7261,15.60,,VEDL,,,,,
2022-03-01,,2235,,,926,3130,0,508,27%,372,0.15,,YESBANK,4947,-418,-8%,13.93%,4.53%
2022-03-01,3806,3088,718,19%,64,38,185,558,20%,453,3.88,,ZYDUSLIFE,,,,,
2022-06-01,2098,1898,200,10%,25,3,26,196,26%,146,6.87,,ABB,,,,,
2022-06-01,1635,687,948,58%,66,458,280,276,21%,214,1.35,,ADANIGREEN,,,,,
2022-06-01,5058,2969,2089,41%,486,629,840,1105,-7%,1177,5.48,,ADANIPORTS,,,,,
2022-06-01,3141,2618,522,17%,82,1,99,504,29%,366,0.50,,BEL,,,,,
2022-06-01,4672,4842,-170,-4%,84,98,67,-251,-25%,-188,-0.54,,BHEL,,,,,
2022-06-01,140,66,75,53%,6,0,4,77,25%,58,2.76,,CDSL,,,,,
2022-06-01,5375,4232,1143,21%,103,18,254,975,28%,706,8.51,,CIPLA,,,,,
2022-06-01,5233,4292,941,18%,863,35,302,1468,19%,1189,14.29,,DRREDDY,,,,,
2022-06-01,4022,3634,387,10%,30,16,122,280,28%,202,2.39,,EXIDEIND,,,,,
2022-06-01,3622,2796,826,23%,204,0,208,822,25%,620,9.27,,HAL,,,,,
2022-06-01,9387,4250,5137,55%,310,44,731,4672,34%,3092,7.32,,HINDZINC,,,,,
2022-06-01,10410,6082,4328,42%,84,5901,5804,-7293,0%,-7297,-2.27,,IDEA,,,,,
2022-06-01,791,276,515,65%,14,261,10,259,24%,198,1.78,,JMFINANCIL,,,,,
2022-06-01,199,175,25,12%,1,7,5,13,25%,10,2.18,,KAYNES,,,,,
2022-06-01,200,153,47,23%,4,8,3,40,34%,26,2.79,,KOLTEPATIL,,,,,
2022-06-01,,4879,,,2405,3004,0,3686,26%,2755,13.88,,KOTAKBANK,9164,1281,14%,2.27%,0.69%
2022-06-01,686,553,133,19%,16,6,31,112,22%,88,3.12,,KPITTECH,,,,,
2022-06-01,1539,1085,454,30%,2,29,71,356,29%,252,4.68,,LAURUSLABS,,,,,
2022-06-01,754,553,201,27%,4,111,13,81,61%,32,0.52,,MOTILALOFS,,,,,
2022-06-01,4767,2869,1898,40%,146,15,85,1944,24%,1445,1.64,,NMDC,,,,,
2022-06-01,1680,2320,-640,-38%,102,6,97,-641,1%,-645,-9.93,,PAYTM,,,,,
2022-06-01,537,500,36,7%,1,9,8,21,20%,16,0.77,,PGEL,,,,,
2022-06-01,732,676,56,8%,5,1,6,54,24%,41,2.25,,PRAJIND,,,,,
2022-06-01,218855,181157,37698,17%,2275,3997,8942,27034,28%,19443,13.27,,RELIANCE,,,,,
2022-06-01,24029,21727,2302,10%,314,374,1194,1047,23%,804,1.95,,SAIL,,,,,
2022-06-01,416,381,35,8%,1,24,13,-1,23%,-1,-0.06,,SKIPPER,,,,,
2022-06-01,1381,1166,214,16%,2472,151,59,2476,2%,2433,2.01,,SUZLON,,,,,
2022-06-01,71935,69522,2413,3%,2381,2421,5841,-3468,44%,-4951,-15.08,,TATAMOTORS,,,,,
2022-06-01,38622,28425,10197,26%,733,1206,2464,7260,23%,5593,11.89,,VEDL,,,,,
2022-06-01,,2214,,,785,3287,0,419,25%,314,0.13,,YESBANK,5135,-366,-7%,13.40%,4.20%
2022-06-01,4073,3240,833,20%,55,34,181,673,18%,576,5.06,,ZYDUSLIFE,,,,,
2022-09-01,1584,718,866,55%,100,498,298,170,14%,149,0.94,,ADANIGREEN,,,,,
2022-09-01,5211,2320,2891,55%,441,577,854,1900,9%,1738,7.94,,ADANIPORTS,,,,,
2022-09-01,3962,3093,868,22%,74,2,109,831,26%,624,0.85,,BEL,,,,,
2022-09-01,5203,5446,-244,-5%,226,123,59,-199,-106%,12,0.03,,BHEL,,,,,
