Period,Promoters +,FIIs +,DIIs +,Public +,No. of Shareholders,Stock,Government +,Others +
2022-06-01,75.00%,3.53%,8.59%,12.88%,89739,ABB,,
2022-06-01,60.50%,15.91%,0.98%,22.61%,371764,ADANIGREEN,,
2022-06-01,66.02%,14.24%,15.06%,4.65%,727228,ADANIPORTS,0.03%,
2022-06-01,51.14%,15.99%,27.77%,5.11%,437097,BEL,,
2022-06-01,63.17%,4.22%,12.59%,20.02%,1287798,BHEL,,
2022-06-01,20.00%,0.00%,34.69%,45.31%,790055,CDSL,,
2022-06-01,33.61%,27.65%,21.33%,17.40%,418910,CIPLA,0.00%,
2022-06-01,26.71%,25.87%,25.18%,21.96%,255300,DRREDDY,,0.28%
2022-06-01,45.99%,10.40%,17.83%,25.78%,837788,EXIDEIND,,
2022-06-01,75.15%,5.56%,15.71%,3.58%,238716,HAL,0.00%,
2022-06-01,64.92%,0.86%,2.95%,1.69%,272235,HINDZINC,29.58%,
2022-06-01,86.36%,1.02%,3.25%,9.36%,1490302,IRFC,,
2022-06-01,55.41%,21.13%,8.79%,14.67%,99903,JMFINANCIL,,
2022-06-01,74.45%,0.98%,3.72%,20.86%,48118,KOLTEPATIL,,
2022-06-01,25.97%,40.55%,17.29%,16.20%,564789,KOTAKBANK,,
2022-06-01,40.11%,15.99%,10.74%,31.69%,586197,KPITTECH,,1.48%
2022-06-01,27.27%,21.98%,9.11%,41.65%,407186,LAURUSLABS,,
2022-06-01,69.50%,9.80%,4.02%,16.67%,91816,MOTILALOFS,,
2022-06-01,60.79%,5.89%,22.14%,11.18%,655658,NMDC,,
2022-06-01,,5.45%,1.15%,93.40%,1195332,PAYTM,,
2022-06-01,65.71%,0.98%,0.00%,33.31%,13002,PGEL,,0.00%
2022-06-01,32.83%,15.93%,10.01%,41.23%,276096,PRAJIND,,
2022-06-01,50.62%,23.90%,14.67%,10.64%,3306732,RELIANCE,0.17%,
2022-06-01,65.00%,4.22%,8.79%,21.91%,1671499,SAIL,0.09%,
2022-06-01,71.89%,9.28%,0.00%,18.83%,29643,SKIPPER,,
2022-06-01,14.92%,6.29%,15.50%,63.29%,2115057,SUZLON,0.00%,
2022-06-01,46.40%,13.71%,15.17%,24.57%,4008506,TATAMOTORS,0.14%,
2022-06-01,69.69%,8.68%,11.57%,9.84%,951228,VEDL,0.00%,0.22%
2022-06-01,,11.37%,43.93%,44.70%,4475215,YESBANK,0.00%,
2022-06-01,74.88%,2.86%,11.94%,10.24%,455624,ZYDUSLIFE,0.08%,
2022-09-01,75.00%,5.39%,11.89%,7.69%,105205,ABB,,
